Year,Team,League,Div,WAA,PWAA,PosWAA
2021,ARI,NL,NLW,-20.8,-9.1,-11.7
2021,ATL,NL,NLE,7.5,7.4,0.1
2021,BAL,AL,ALE,-24.5,-12.6,-11.9
2021,BOS,AL,ALE,9.1,6.1,3
2021,CHC,NL,NLC,-13.4,-13.2,-0.2
2021,CWS,AL,ALC,16.4,12.6,3.8
2021,CIN,NL,NLC,4.1,11.9,-7.8
2021,CLE,AL,ALC,-1.3,2.4,-3.7
2021,COL,NL,NLW,-4.2,-4.8,0.6
2021,DET,AL,ALC,-8.4,0.8,-9.2
2021,HOU,AL,ALW,15.8,0.3,15.5
2021,KCR,AL,ALC,-9.1,-3.5,-5.6
2021,LAA,AL,ALW,-11.8,0.6,-12.4
2021,LAD,NL,NLW,21.1,15.3,5.8
2021,MIA,NL,NLE,-6.5,-0.2,-6.3
2021,MIL,NL,NLC,9.3,9,0.3
2021,MIN,AL,ALC,-9.8,-13.9,4.1
2021,NYM,NL,NLE,-1.1,0.8,-1.9
2021,NYY,AL,ALE,7.4,14,-6.6
2021,OAK,AL,ALW,5.2,2.5,2.7
2021,PHI,NL,NLE,0.8,5.3,-4.5
2021,PIT,NL,NLC,-20.1,-10.2,-9.9
2021,SDP,NL,NLW,2.6,-4.2,6.8
2021,SEA,AL,ALW,20.8,-0.3,21.1
2021,SFG,NL,NLW,-6,11.7,-17.7
2021,STL,NL,NLC,5.8,-6.7,12.5
2021,TBR,AL,ALE,15.1,-1.4,16.5
2021,TEX,AL,ALW,-18,-14,-4
2021,TOR,AL,ALE,19.2,6,13.2
2021,WSH,NL,NLE,-7.2,-15.2,8
